,bairro,area,pop2010,densidade,renda,lat,lon
1,Agronomia,1241 ha,12222.0,"8,6 hab/ha","3,98 SM/mês",-30.0692668,-51.1492173
2,Anchieta,84 ha,203.0,"2,4 hab/ha","8,41 SM/mês",-29.9756518,-51.1749025
3,Arquipélago,4718 ha,5061.0,"1,1 hab/ha","2,96 SM/mês",-29.9927605,-51.226618
4,Auxiliadora,82 ha,9985.0,"121,8 hab/ha","19,57 SM/mês",-30.0200106,-51.1905879
5,Azenha,126 ha,13449.0,"106,7 hab/ha","10,73 SM/mês",-30.0507214,-51.2156071
6,Bela Vista,92 ha,9621.0,"104,6 hab/ha","34,68 SM/mês",-30.0353173,-51.1903512
7,Belém Novo,2925 ha,13787.0,"4,7 hab/ha","4,49 SM/mês",-30.2108984,-51.1795653
8,Belém Velho,866 ha,7876.0,"9,1 hab/ha","4,94 SM/mês",-30.1155228,-51.1793764
9,Boa Vista,160 ha,8691.0,"54,3 hab/ha","25,76 SM/mês",-30.0247805,-51.1745238
10,Boa Vista do Sul,2436 ha,2309.0,,"2,28 SM/mês",-30.2112207,-51.1326034
11,Bom Fim,38 ha,11351.0,"298,7 hab/ha","15,80 SM/mês",-30.0333968,-51.2117199
12,Bom Jesus,179 ha,28229.0,"157,7 hab/ha","3,97 SM/mês",-30.0427211,-51.1626625
13,Camaquã,224 ha,21723.0,"97,0 hab/ha","6,65 SM/mês",-30.8524752,-51.8075619
14,Campo Novo,592 ha,7652.0,"12,9 hab/ha","4,7 SM/mês",-30.1345907,-51.1988176
15,Cascata,691 ha,24130.0,"34,9 hab/ha","3,17 SM/mês",-30.0878685,-51.1827184
16,Cavalhada,357 ha,19854.0,"55,6 hab/ha","7,48 SM/mês",-30.1043906,-51.226694
17,Centro,228 ha,36862.0,"161,7 hab/ha","12,61 SM/mês",-29.9766491,-50.1278714
19,Chácara das Pedras,102 ha,7034.0,"69,0 hab/ha","20,68 SM/mês",-30.0341341,-51.1624528
20,Cidade Baixa,79 ha,16634.0,"210,6 hab/ha","11,20 SM/mês",-30.0402405,-51.2218676
21,Coronel Aparício Borges,278 ha,22786.0,"82,0 hab/ha","4,33 SM/mês",-30.0690735,-51.1830696
23,Cristal,270 ha,21054.0,"78,0 hab/ha","8,53 SM/mês",-31.00166,-52.0491777
24,Cristo Redentor,148 ha,16103.0,"108,8 hab/ha","10,61 SM/mês",-30.0147017,-51.1563013
25,Espírito Santo,174 ha,5734.0,"33,0 hab/ha","11,02 SM/mês",-30.1501099,-51.2211468
27,Farrapos,165 ha,17019.0,"103,1 hab/ha","3,00 SM/mês",-29.9838739,-51.1955535
28,Farroupilha,57 ha,1101.0,"19,3 hab/ha","16,66 SM/mês",-30.0382929,-51.2128457
29,Floresta,167 ha,14941.0,"89,5 hab/ha","12,39 SM/mês",-30.0150916,-51.2096662
30,Glória,105 ha,8809.0,"83,9 hab/ha","10,37 SM/mês",-30.0763219,-51.1968056
31,Guarujá,126 ha,2589.0,"20,5 hab/ha","12,62 SM/mês",-30.1564771,-51.2230755
32,Higienópolis,103 ha,9096.0,"88,3 hab/ha","17,53 SM/mês",-30.013821,-51.1822698
33,Humaitá,417 ha,10470.0,"25,1 hab/ha","6,00 SM/mês",-29.9794491,-51.1868816
34,Hípica,447 ha,10363.0,"23,2 hab/ha","4,85 SM/mês",-30.1595538,-51.1771961
35,Independência,40 ha,6407.0,"160,2 hab/ha","21,98 SM/mês",-30.0278102,-51.2119489
36,Ipanema,398 ha,16877.0,"42,4 hab/ha","16,94 SM/mês",-30.1390847,-51.2243699
37,Jardim Botânico,203 ha,11494.0,"56,6 hab/ha","12,32 SM/mês",-30.0529737,-51.185073
38,Jardim Carvalho,253 ha,25915.0,"102,4 hab/ha","5,31 SM/mês",-30.0540061,-51.1503602
40,Jardim Floresta,64 ha,3822.0,"59,7 hab/ha","9,78 SM/mês",-30.0015751,-51.1581307
43,Jardim Itu-Sabará,457 ha,31127.0,"68,1 hab/ha","9,17 SM/mês",-30.0331026,-51.1451097
44,Jardim Lindóia,79 ha,7334.0,"92,8 hab/ha","20,99 SM/mês",-30.0036186,-51.1503963
46,Jardim São Pedro,92 ha,3998.0,"43,5 hab/ha","10,31 SM/mês",-30.0039609,-51.1651561
47,Jardim do Salso,93 ha,5143.0,"55,3 hab/ha","11,44 SM/mês",-30.0491206,-51.1693673
48,Lageado,2717 ha,3425.0,"1,3 hab/ha","3,53 SM/mês",-30.1886644,-51.1340341
49,Lami,2408 ha,2699.0,"1,1 hab/ha","4,04 SM/mês",-30.2388239,-51.0839564
50,Lomba do Pinheiro,2455 ha,30388.0,"12,4 hab/ha","2,92 SM/mês",-30.1187746,-51.1041163
51,Marcílio Dias,124 ha,598.0,"4,8 hab/ha","1,51 SM/mês",-30.016293949999998,-51.21541835858207
52,Medianeira,140 ha,12428.0,"88,8 hab/ha","10,10 SM/mês",-30.0653971,-51.2086757
53,Menino Deus,215 ha,29577.0,"137,6 hab/ha","15,60 SM/mês",-29.8530665,-50.5167176
54,Moinhos de Vento,82 ha,8067.0,"98,4 hab/ha","29,33 SM/mês",-30.0240687,-51.2054232
