,bairro,area,pop2010,densidade,renda,lat,lon
0,Agronomia,1241 ha,12222.0,"8,6 hab/ha","3,98 SM/mês",-30.091369999999984,-51.12185999999997
1,Anchieta,84 ha,203.0,"2,4 hab/ha","8,41 SM/mês",-29.983709999999974,-51.166159999999934
2,Arquipélago,4718 ha,5061.0,"1,1 hab/ha","2,96 SM/mês",-29.990869999999973,-51.23044999999996
3,Auxiliadora,82 ha,9985.0,"121,8 hab/ha","19,57 SM/mês",-30.01977999999997,-51.18846999999994
4,Azenha,126 ha,13449.0,"106,7 hab/ha","10,73 SM/mês",-30.048959999999965,-51.21539999999993
5,Bela Vista,92 ha,9621.0,"104,6 hab/ha","34,68 SM/mês",-30.032869999999946,-51.189959999999985
6,Belém Novo,2925 ha,13787.0,"4,7 hab/ha","4,49 SM/mês",-30.211029999999937,-51.170729999999935
7,Belém Velho,866 ha,7876.0,"9,1 hab/ha","4,94 SM/mês",-30.111449999999934,-51.176489999999944
8,Boa Vista,160 ha,8691.0,"54,3 hab/ha","25,76 SM/mês",-30.02320999999995,-51.18205999999998
9,Boa Vista do Sul,2436 ha,2309.0,,"2,28 SM/mês",-30.02320999999995,-51.18205999999998
10,Bom Fim,38 ha,11351.0,"298,7 hab/ha","15,80 SM/mês",-30.032639999999958,-51.21253999999993
11,Bom Jesus,179 ha,28229.0,"157,7 hab/ha","3,97 SM/mês",-30.04311999999993,-51.16033999999996
12,Camaquã,224 ha,21723.0,"97,0 hab/ha","6,65 SM/mês",-30.10821999999996,-51.24044999999995
13,Campo Novo,592 ha,7652.0,"12,9 hab/ha","4,7 SM/mês",-30.13184999999993,-51.19730999999996
14,Cascata,691 ha,24130.0,"34,9 hab/ha","3,17 SM/mês",-30.09433999999993,-51.171149999999955
15,Cavalhada,357 ha,19854.0,"55,6 hab/ha","7,48 SM/mês",-30.10559999999998,-51.22703999999993
16,Centro,228 ha,36862.0,"161,7 hab/ha","12,61 SM/mês",-30.04463999999996,-51.22420999999997
17,Chácara das Pedras,102 ha,7034.0,"69,0 hab/ha","20,68 SM/mês",-30.030279999999948,-51.16160999999994
18,Cidade Baixa,79 ha,16634.0,"210,6 hab/ha","11,20 SM/mês",-30.042239999999936,-51.22166999999996
19,Coronel Aparício Borges,278 ha,22786.0,"82,0 hab/ha","4,33 SM/mês",-30.069699999999955,-51.18298999999996
20,Cristal,270 ha,21054.0,"78,0 hab/ha","8,53 SM/mês",-30.078659999999957,-51.241349999999954
21,Cristo Redentor,148 ha,16103.0,"108,8 hab/ha","10,61 SM/mês",-30.010729999999967,-51.16089999999997
22,Espírito Santo,174 ha,5734.0,"33,0 hab/ha","11,02 SM/mês",-30.146609999999953,-51.22139999999996
23,Farrapos,165 ha,17019.0,"103,1 hab/ha","3,00 SM/mês",-29.982759999999928,-51.19755999999995
24,Farroupilha,57 ha,1101.0,"19,3 hab/ha","16,66 SM/mês",-30.036359999999945,-51.21992999999998
25,Floresta,167 ha,14941.0,"89,5 hab/ha","12,39 SM/mês",-30.015829999999937,-51.21259999999995
26,Glória,105 ha,8809.0,"83,9 hab/ha","10,37 SM/mês",-30.074469999999963,-51.20232999999996
27,Guarujá,126 ha,2589.0,"20,5 hab/ha","12,62 SM/mês",-30.156909999999982,-51.21978999999993
28,Higienópolis,103 ha,9096.0,"88,3 hab/ha","17,53 SM/mês",-30.015439999999955,-51.18408999999997
29,Humaitá,417 ha,10470.0,"25,1 hab/ha","6,00 SM/mês",-29.97977999999995,-51.18497999999994
30,Hípica,447 ha,10363.0,"23,2 hab/ha","4,85 SM/mês",-30.162999999999954,-51.19637999999998
31,Independência,40 ha,6407.0,"160,2 hab/ha","21,98 SM/mês",-30.025699999999972,-51.20831999999996
32,Ipanema,398 ha,16877.0,"42,4 hab/ha","16,94 SM/mês",-30.13238999999993,-51.23342999999994
33,Jardim Botânico,203 ha,11494.0,"56,6 hab/ha","12,32 SM/mês",-30.052959999999928,-51.18945999999994
34,Jardim Carvalho,253 ha,25915.0,"102,4 hab/ha","5,31 SM/mês",-30.04690999999997,-51.14369999999997
35,Jardim Floresta,64 ha,3822.0,"59,7 hab/ha","9,78 SM/mês",-30.002389999999934,-51.163449999999955
36,Jardim Itu-Sabará,457 ha,31127.0,"68,1 hab/ha","9,17 SM/mês",-30.016889999999933,-51.13881999999995
37,Jardim Lindóia,79 ha,7334.0,"92,8 hab/ha","20,99 SM/mês",-30.006609999999966,-51.15092999999996
38,Jardim São Pedro,92 ha,3998.0,"43,5 hab/ha","10,31 SM/mês",-30.00541999999996,-51.164579999999944
39,Jardim do Salso,93 ha,5143.0,"55,3 hab/ha","11,44 SM/mês",-30.049549999999954,-51.167029999999954
40,Lageado,2717 ha,3425.0,"1,3 hab/ha","3,53 SM/mês",-30.19837999999993,-51.13528999999994
41,Lami,2408 ha,2699.0,"1,1 hab/ha","4,04 SM/mês",-30.232599999999934,-51.09514999999993
42,Lomba do Pinheiro,2455 ha,30388.0,"12,4 hab/ha","2,92 SM/mês",-30.10953999999998,-51.14169999999996
43,Marcílio Dias,124 ha,598.0,"4,8 hab/ha","1,51 SM/mês",-30.0494467087482,-51.22413667643068
44,Medianeira,140 ha,12428.0,"88,8 hab/ha","10,10 SM/mês",-30.06673999999998,-51.21164999999996
45,Menino Deus,215 ha,29577.0,"137,6 hab/ha","15,60 SM/mês",-30.057019999999966,-51.224489999999946
46,Moinhos de Vento,82 ha,8067.0,"98,4 hab/ha","29,33 SM/mês",-30.024639999999977,-51.206579999999974
47,Mont'Serrat,79 ha,10236.0,"129,6 hab/ha","24,07 SM/mês",-30.02696999999995,-51.19085999999999
48,Mário Quintana,678 ha,21848.0,"32,2 hab/ha","2,45 SM/mês",-30.036309999999958,-51.10666999999995
49,Navegantes,174 ha,4475.0,"25,7 hab/ha","7,07 SM/mês",-29.996509999999944,-51.202409999999986
50,Nonoai,460 ha,32222.0,"70,0 hab/ha","7,18 SM/mês",-30.091669999999965,-51.21943999999996
51,Partenon,570 ha,47460.0,"83,3 hab/ha","7,54 SM/mês",-30.060389999999984,-51.19419999999997
52,Passo D'Areia,244 ha,23083.0,"94,6 hab/ha","9,96 SM/mês",-30.01681999999994,-51.175059999999974
53,Pedra Redonda,47 ha,316.0,"6,7 hab/ha","21,23 SM/mês",-30.12737999999996,-51.24353999999994
54,Petrópolis,333 ha,35069.0,"105,3 hab/ha","20,37 SM/mês",-30.045589999999947,-51.19254999999998
55,Ponta Grossa,933 ha,3290.0,"3,5 hab/ha","5,25 SM/mês",-30.176139999999975,-51.18826999999993
56,Praia de Belas,204 ha,1869.0,"9,2 hab/ha","12,30 SM/mês",-30.045679999999948,-51.23022999999995
57,Restinga,2149 ha,50020.0,"23,3 hab/ha","3,03 SM/mês",-30.15238999999997,-51.14095999999995
58,Rio Branco,136 ha,19069.0,"140,2 hab/ha","20,50 SM/mês",-30.032639999999958,-51.20037999999994
59,Rubem Berta,851 ha,78624.0,"92,4 hab/ha","4,05 SM/mês",-30.00708999999995,-51.10080999999997
60,Santa Cecília,60 ha,5800.0,"96,7 hab/ha","14,53 SM/mês",-30.04147999999998,-51.205089999999984
61,Santa Maria Goretti,77 ha,4132.0,"53,7 hab/ha","8,54 SM/mês",-30.00780999999995,-51.18131999999997
62,Santa Tereza,454 ha,47175.0,"103,9 hab/ha","5,78 SM/mês",-30.071819999999946,-51.217469999999935
63,Santana,149 ha,21221.0,"142,4 hab/ha","13,93 SM/mês",-30.04681999999997,-51.20404999999994
64,Santo Antônio,129 ha,14392.0,"111,6 hab/ha","11,03 SM/mês",-30.05473999999998,-51.20673999999997
65,Sarandi,944 ha,60403.0,"64,0 hab/ha","5,01 SM/mês",-29.99159999999995,-51.110149999999976
66,Serraria,344 ha,5775.0,"16,8 hab/ha","3,92 SM/mês",-30.16316999999998,-51.22450999999995
67,São Geraldo,144 ha,8692.0,"60,4 hab/ha","8,29 SM/mês",-30.009079999999983,-51.204039999999964
68,São João,492 ha,13238.0,"26,9 hab/ha","12,14 SM/mês",-30.00804999999997,-51.18807999999996
69,São Sebastião,70 ha,6465.0,"92,4 hab/ha","10,12 SM/mês",-30.00703999999996,-51.147239999999954
70,Teresópolis,295 ha,12844.0,"43,5 hab/ha","10,31 SM/mês",-30.082259999999962,-51.206279999999936
71,Tristeza,264 ha,15125.0,"57,3 hab/ha","14,57 SM/mês",-30.114269999999976,-51.249949999999956
72,Três Figueiras,106 ha,3657.0,"34,5 hab/ha","37,00 SM/mês",-30.03198999999995,-51.17080999999996
73,Vila Assunção,120 ha,4591.0,"38,3 hab/ha","27,74 SM/mês",-30.102169999999944,-51.25726999999995
74,Vila Conceição,35 ha,1467.0,"41,9 hab/ha","11,96 SM/mês",-30.12084999999996,-51.25593999999995
75,Vila Ipiranga,520 ha,20951.0,"40,3 hab/ha","8,99 SM/mês",-30.022919999999942,-51.15367999999995
76,Vila Jardim,178 ha,14251.0,"80,1 hab/ha","5,30 SM/mês",-30.032979999999952,-51.14991999999995
77,Vila João Pessoa,84 ha,10522.0,"125,3 hab/ha","5,58 SM/mês",-30.069669999999974,-51.175509999999974
