,bairro,area,pop2010,densidade,renda,raio,lat,lon
0,Aberta dos Morros,,,,,,-30.1600217,-51.1974857
1,Agronomia,12410000.0,12222.0,"8,6 hab/ha","3,98 SM/mês",1987.5174684869671,-30.0692668,-51.1492173
2,Anchieta,840000.0,203.0,"2,4 hab/ha","8,41 SM/mês",517.0882945826411,-29.9756518,-51.1749025
3,Arquipélago,47180000.0,5061.0,"1,1 hab/ha","2,96 SM/mês",3875.2884318655874,-29.9927605,-51.226618
4,Auxiliadora,820000.0,9985.0,"121,8 hab/ha","19,57 SM/mês",510.8953969950291,-30.0200106,-51.1905879
5,Azenha,1260000.0,13449.0,"106,7 hab/ha","10,73 SM/mês",633.3012368467129,-30.0507214,-51.2156071
6,Bela Vista,920000.0,9621.0,"104,6 hab/ha","34,68 SM/mês",541.151637980601,-30.0353173,-51.1903512
7,Belém Novo,29250000.0,13787.0,"4,7 hab/ha","4,49 SM/mês",3051.3217088461643,-30.2108984,-51.1795653
8,Belém Velho,8660000.0,7876.0,"9,1 hab/ha","4,94 SM/mês",1660.2902199168757,-30.1155228,-51.1793764
9,Boa Vista,1600000.0,8691.0,"54,3 hab/ha","25,76 SM/mês",713.6496464611084,-30.0247805,-51.1745238
10,Boa Vista do Sul,24360000.0,2309.0,,"2,28 SM/mês",2784.605686167638,-30.2112207,-51.1326034
11,Bom Fim,380000.0,11351.0,"298,7 hab/ha","15,80 SM/mês",347.7898169151024,-30.0333968,-51.2117199
12,Bom Jesus,1790000.0,28229.0,"157,7 hab/ha","3,97 SM/mês",754.8342177385609,-30.0427211,-51.1626625
13,Camaquã,2240000.0,21723.0,"97,0 hab/ha","6,65 SM/mês",844.4016491289505,-30.10821999999996,-51.24044999999995
14,Campo Novo,5920000.0,7652.0,"12,9 hab/ha","4,7 SM/mês",1372.7325035155395,-30.1345907,-51.1988176
15,Cascata,6910000.0,24130.0,"34,9 hab/ha","3,17 SM/mês",1483.0783234644061,-30.0878685,-51.1827184
16,Cavalhada,3570000.0,19854.0,"55,6 hab/ha","7,48 SM/mês",1066.0048281673646,-30.1043906,-51.226694
17,Centro Histórico,2280000.0,36862.0,"161,7 hab/ha","12,61 SM/mês",851.9075891779828,-30.0325029,-51.2303294
18,Chapéu do Sol,,,,,,-30.1802576,-51.1697496
19,Chácara das Pedras,1020000.0,7034.0,"69,0 hab/ha","20,68 SM/mês",569.8035485213009,-30.0341341,-51.1624528
20,Cidade Baixa,790000.0,16634.0,"210,6 hab/ha","11,20 SM/mês",501.46267067967744,-30.0402405,-51.2218676
21,Coronel Aparício Borges,2780000.0,22786.0,"82,0 hab/ha","4,33 SM/mês",940.692023773423,-30.0690735,-51.1830696
22,Costa e Silva,,,,,,-30.0116864,-51.1162213
23,Cristal,2700000.0,21054.0,"78,0 hab/ha","8,53 SM/mês",927.058084855655,-30.078659999999957,-51.241349999999954
