,fsq_id,categorias,nome,lat,lon,endereco,cidade,bairro,cat_nome,cat_id,cat_sup
0,4c30afa6452620a139721f0f,"[{'id': 13083, 'name': 'Churrascaria', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/argentinian_', 'suffix': '.png'}}, {'id': 13383, 'name': 'Steakhouse', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/steakhouse_', 'suffix': '.png'}}]",Churrascaria Pastoriza,-30.158138,-51.19427,"Avenida Juca Batista, 4023, Porto Alegre, RS, 91755-000",Porto Alegre,,Churrascaria,13083,Food
1,4d6a7586342b8cfad31cd72c,"[{'id': 13079, 'name': 'Brazilian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/argentinian_', 'suffix': '.png'}}, {'id': 13145, 'name': 'Fast Food Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}]",Biskaia,-30.157387,-51.196786,"Avenida Juca Batista, 3782, Porto Alegre, RS, 91755-000",Porto Alegre,,Brazilian Restaurant,13079,Food
2,4e7e51be61af0051f2f60efe,"[{'id': 17069, 'name': 'Grocery Store / Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}}]",J. Carboni Supermercado,-30.157197,-51.197027,"Avenida Juca Batista, 3821, Porto Alegre, RS, 91755-000",Porto Alegre,Hípica,Grocery Store / Supermarket,17069,Residences
3,590257a9e185f3577bacba57,"[{'id': 13048, 'name': 'Pie Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pieshop_', 'suffix': '.png'}}]",Bella Gula,-30.158703,-51.193424,"Zaffari, Porto Alegre, RS, 91770-001",Porto Alegre,Hípica,Pie Shop,13048,Food
4,4f3a8595e4b01190396d76c1,"[{'id': 11045, 'name': 'Bank', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/financial_', 'suffix': '.png'}}]",CAIXA,-30.1583,-51.195022,"Rua Doutor Hermes Pacheco, 25 (Ag. Ag: 3481 - Hípica), Porto Alegre, RS, 91755-010",Porto Alegre,,Bank,11045,Colleges & Universities
5,5dfa4199c83bc80008145531,"[{'id': 13145, 'name': 'Fast Food Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}, {'id': 13031, 'name': 'Burger Joint', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/burger_', 'suffix': '.png'}}]",Burger King,-30.158838,-51.193275,Rio Grande do Sul,,,Fast Food Restaurant,13145,Food
6,508161dfe4b01d45a112f0d5,"[{'id': 11061, 'name': 'Health and Beauty Service', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}}]",Allier Estética,-30.159175,-51.188413,,,,Health and Beauty Service,11061,Colleges & Universities
7,505cd16ce4b08dae9ab357de,"[{'id': 16041, 'name': 'Plaza', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/plaza_', 'suffix': '.png'}}]",Praça do Meio,-30.155794,-51.197901,,,,Plaza,16041,Professional & Other Places
8,4e6ea9483151e3d6e7c85b26,"[{'id': 17069, 'name': 'Grocery Store / Supermarket', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}}]",Asun,-30.158746,-51.192122,"Avenida Juca Batista, 4246, Porto Alegre, RS, 91755-000",Porto Alegre,,Grocery Store / Supermarket,17069,Residences
9,4bdb7677383276b0abb27369,"[{'id': 18000, 'name': 'Sports and Recreation', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_', 'suffix': '.png'}}]",Sociedade Hípica Porto Alegrense,-30.160931,-51.186372,"Avenida Juca Batista, 4931, Porto Alegre, RS, 91780-070",Porto Alegre,,Sports and Recreation,18000,Shops & Services
